Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
Benepik,Gurgaon,Marketing,1300000.0,Seed Stage ,2018
Cash Suvidha,New Delhi,Finance,1000000.0,Seed Stage ,2018
Smartcoin,Bangalore,Technology,2000000.0,Seed Stage ,2018
Carmel Organics,Indore,Marketing,1300000.0,Series Stage ,2018
Roadcast,New Delhi,Marketing,250000.0,Others Stage ,2018
Printline Media(ThePrint),New Delhi,Technology,510233.91812865494,Seed Stage ,2018
Creditas Solutions,Gurgaon,Finance,1300000.0,Seed Stage ,2018
UrbanPiper,Bengaluru,Technology,1300000.0,Seed Stage ,2018
Doxper,Mumbai,Healthcare,1052631.5789473683,Seed Stage ,2018
i2ifunding,Noida,Finance,730994.1520467836,Others Stage ,2018
ShakeDeal,Bangalore,Marketing,1300000.0,Seed Stage ,2018
HelloVerify,Noida,Finance,1300000.0,Seed Stage ,2018
Fasal,Bengaluru,Marketing,120000.0,Seed Stage ,2018
CoinGeto,Delhi,Finance,1754385.9649122804,Seed Stage ,2018
Avail Finance,Bangalore,Finance,17200000.0,Series Stage ,2018
Tripeur,Bengaluru,Technology,600000.0,Seed Stage ,2018
Wedeterna,Bangalore,Marketing,1300000.0,Others Stage ,2018
Stumagz,Hyderabad,Technology,1300000.0,Seed Stage ,2018
Doubtnut,Gurgaon,Education,511695.9064327485,Seed Stage ,2018
MCaffeine,Mumbai,Marketing,467836.25730994146,Seed Stage ,2018
TrustCheckr,Bengaluru,Technology,100000.0,Others Stage ,2018
HealthAssure,Mumbai,Technology,1000000.0,Seed Stage ,2018
Picture TIme,New Delhi,Technology,3654970.7602339177,Seed Stage ,2018
1Crowd,Mumbai,Technology,3500000.0,Others Stage ,2018
Aarav Unmanned Systems,Bangalore,Transport,1300000.0,Seed Stage ,2018
Wellthy Therapeutics Pvt Ltd,Mumbai,Healthcare,1973684.2105263157,Seed Stage ,2018
Nua,Mumbai,Marketing,1300000.0,Seed Stage ,2018
Kuvera.in,Bangalore,Finance,250000.0,Others Stage ,2018
Livehealth,Pune,Healthcare,1100000.0,Seed Stage ,2018
Gramophone,Indore,Marketing,1000000.0,Seed Stage ,2018
Ora,Kolkata,Marketing,1300000.0,Seed Stage ,2018
Buddy4Study.com,Noida,Education,3000000.0,Series Stage ,2018
Predible Health,Bangalore,Healthcare,1300000.0,Seed Stage ,2018
